id,smiles,activity_remaining
EX0000,Cc1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,85.5
EX0001,CCc1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,68.8
EX0002,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(F)cc2)[nH]n1,76.87
EX0003,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(Cl)cc2)[nH]n1,90.75
EX0004,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(Br)cc2)[nH]n1,86.64
EX0005,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(O)cc2)[nH]n1,55.35
EX0006,COc1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,74.85
EX0007,CCOc1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,61.04
EX0008,Nc1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,64.96
EX0009,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(C(F)(F)F)cc2)[nH]n1,65.52
EX0010,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(S)cc2)[nH]n1,67.68
EX0011,CSc1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,80.4
EX0012,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(CO)cc2)[nH]n1,72.77
EX0013,N#Cc1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,65.74
EX0014,CC(C)c1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,67.58
EX0015,CN(C)c1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,66.37
EX0016,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(CCO)cc2)[nH]n1,79.13
EX0017,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccc(OCCO)cc2)[nH]n1,58.74
EX0018,O=C(NCCCn1cnc2ccccc21)c1cc(-c2ccccc2)[nH]n1,71.24
EX0019,NCc1ccc(-c2cc(C(=O)NCCCn3cnc4ccccc43)n[nH]2)cc1,55.0
EX0020,Cc1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,38.02
EX0021,CCc1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,71.59
EX0022,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(F)cc2)[nH]n1,75.61
EX0023,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(Cl)cc2)[nH]n1,57.94
EX0024,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(Br)cc2)[nH]n1,91.07
EX0025,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(O)cc2)[nH]n1,50.1
EX0026,COc1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,64.9
EX0027,CCOc1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,60.64
EX0028,Nc1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,82.96
EX0029,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(C(F)(F)F)cc2)[nH]n1,77.16
EX0030,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(S)cc2)[nH]n1,67.8
EX0031,CSc1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,68.56
EX0032,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(CO)cc2)[nH]n1,54.63
EX0033,N#Cc1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,42.61
EX0034,CC(C)c1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,58.87
EX0035,CN(C)c1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,64.42
EX0036,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(CCO)cc2)[nH]n1,76.23
EX0037,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccc(OCCO)cc2)[nH]n1,74.23
EX0038,O=C(NCCCc1nnc2ccccn12)c1cc(-c2ccccc2)[nH]n1,63.54
EX0039,NCc1ccc(-c2cc(C(=O)NCCCc3nnc4ccccn34)n[nH]2)cc1,61.07
EX0040,Cc1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,68.17
EX0041,CCc1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,62.38
EX0042,O=c1ccnc2nc(NCc3ccc(F)cc3)[nH]n12,60.93
EX0043,O=c1ccnc2nc(NCc3ccc(Cl)cc3)[nH]n12,100.0
EX0044,O=c1ccnc2nc(NCc3ccc(Br)cc3)[nH]n12,74.09
EX0045,O=c1ccnc2nc(NCc3ccc(O)cc3)[nH]n12,74.88
EX0046,COc1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,64.22
EX0047,CCOc1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,84.85
EX0048,Nc1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,61.95
EX0049,O=c1ccnc2nc(NCc3ccc(C(F)(F)F)cc3)[nH]n12,72.26
EX0050,O=c1ccnc2nc(NCc3ccc(S)cc3)[nH]n12,69.85
EX0051,CSc1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,82.26
EX0052,O=c1ccnc2nc(NCc3ccc(CO)cc3)[nH]n12,72.38
EX0053,N#Cc1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,65.01
EX0054,CC(C)c1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,75.99
EX0055,CN(C)c1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,81.01
EX0056,O=c1ccnc2nc(NCc3ccc(CCO)cc3)[nH]n12,77.03
EX0057,O=c1ccnc2nc(NCc3ccc(OCCO)cc3)[nH]n12,77.93
EX0058,O=c1ccnc2nc(NCc3ccccc3)[nH]n12,74.42
EX0059,NCc1ccc(CNc2nc3nccc(=O)n3[nH]2)cc1,74.01
EX0060,Cc1ccc2nc(NCc3ccccc3)oc2c1,74.0
EX0061,CCc1ccc2nc(NCc3ccccc3)oc2c1,75.74
EX0062,Fc1ccc2nc(NCc3ccccc3)oc2c1,72.46
EX0063,Clc1ccc2nc(NCc3ccccc3)oc2c1,62.41
EX0064,Brc1ccc2nc(NCc3ccccc3)oc2c1,83.35
EX0065,Oc1ccc2nc(NCc3ccccc3)oc2c1,76.98
EX0066,COc1ccc2nc(NCc3ccccc3)oc2c1,61.77
EX0067,CCOc1ccc2nc(NCc3ccccc3)oc2c1,83.09
EX0068,Nc1ccc2nc(NCc3ccccc3)oc2c1,71.42
EX0069,FC(F)(F)c1ccc2nc(NCc3ccccc3)oc2c1,76.87
EX0070,Sc1ccc2nc(NCc3ccccc3)oc2c1,89.42
EX0071,CSc1ccc2nc(NCc3ccccc3)oc2c1,81.12
EX0072,OCc1ccc2nc(NCc3ccccc3)oc2c1,92.23
EX0073,N#Cc1ccc2nc(NCc3ccccc3)oc2c1,66.12
EX0074,CC(C)c1ccc2nc(NCc3ccccc3)oc2c1,82.43
EX0075,CN(C)c1ccc2nc(NCc3ccccc3)oc2c1,70.47
EX0076,OCCc1ccc2nc(NCc3ccccc3)oc2c1,68.42
EX0077,OCCOc1ccc2nc(NCc3ccccc3)oc2c1,69.93
EX0078,c1ccc(CNc2nc3ccccc3o2)cc1,79.67
EX0079,NCc1ccc2nc(NCc3ccccc3)oc2c1,80.32
